WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Overlapped,Alignedto4K,Alignedto4K,Frequent_25Commands
Overlapped,Alignedto4K,Unalignedto4K,Frequent_25Commands
Overlapped,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
Overlapped,Alignedto4K,Unalignedto4K,NoPowerCycle
Overlapped,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Overlapped,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Overlapped,Alignedto4K,Alignedto4K,InFrequent_75Commands
Overlapped,Alignedto4K,Alignedto4K,NoPowerCycle
Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
Overlapped,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Overlapped,DiePageAligned,Unalignedto4K,NoPowerCycle
Overlapped,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Overlapped,DiePageAligned,Alignedto4K,InFrequent_75Commands
Overlapped,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Overlapped,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Overlapped,DiePageAligned,Unalignedto4K,Frequent_25Commands
Overlapped,DiePageAligned,Alignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,Unalignedto4K,NoPowerCycle
Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Overlapped,Unalignedto4K,Alignedto4K,Frequent_25Commands
Overlapped,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Overlapped,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Overlapped,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Overlapped,Unalignedto4K,Alignedto4K,NoPowerCycle
Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
